Ref,__,A,B,C,__,____,_____,____
QA129,"_____________ (RSS) _________________",________”_______” ___ “_______” ___ __________,_____________,_______(CRO) ____________,A,X,,4-3-6 Contractor Management
QA130,"______________?","___",___,___,C,X,,4-3-6 Contractor Management
QA131,"____________________…",_______,______,____,C,X,,4-3-6 Contractor Management
QA132,_____________ (RSS) ___________________?,__,__,__,B,X,,4-3-6 Contractor Management
QA133,_____________ (RSS) _____________…,__,__,__,A,X,,4-3-6 Contractor Management
QA134,_____________________?,__,__,__,B,X,,4-3-6 Contractor Management
QA135,_________________,______________,_____________ ,_____________ ,B,X,,SHEQ-ITN-006
QA136,“_______________________________________________” ____…,__,__________,______________,C,X,,Others
QA137,“____”__________________,______,_________,_____,B,X,,_2_- __1.21
QA138,_______(____)____________________,_______(____)____1%,_______(____)____2%,_______(____)____3%,A,X,,____
QA139,_______(____)________________________,______,_______,____________,B,X,,____
QA140,________(__)__________________,__________3_________4______6__,__________5_________4______8__,__________10_________4______15__,A,X,,____
QA141,_____________________, ____,______,______,C,X,,____
QA142,______________,____,____,___,A,X,X,__
QA143,_____________ …,__,__,__,B,X,X,__
QA144,_______,__380___________,__1000___________,__11000___________,B,X,,Safety Rule
QA145,ISO 14001____________,___________,______,______,B,X,X,__
QA146,ISO 14064____________________,____,____,____,A,X,X,Others
QA147,ISO 9001____________,___________,______,______,C,X,X,__
QA148,OHSAS 18001____________,___________,______,______,A,X,X,__
QA149,SHEQ-STD-001____________________?,____,____,____,B,X,X,SHEQ-STD-001_1_
QA150,SHEQ-STD-001____,____,_______________,________,B,X,X,SHEQ-STD-001_1_
QA151,____________________________________ 40_______ :,20 _,25 _,30 _,A,X,X,__
QA152,____________________________________ 80_______ :,60 _,50 _,70 _,A,X,X,__
QA153,_______________…,____,_______,_____(_),C,X,X,___
QA154,_____________________,300___,400___,500___,B,X,X, _2_ -__1.12
QA155,_______________________,80___,60___,40___,A,X,X, _2_ -__1.12
QA156,_________________,_______________,_________,_________,A,X,,SHEQ-STD-005
QA157,_________________________,160___,200___,240___,A,X,, _2_ -__1.12
QA158,______________________________________?,3__,6__,12 __,C,X,X,_3_ - __2.23
QA159,___________…,__,__,__,A,X,X,__
QA160,___ _______________,__,__,_____,C,X,X,____
QA161,___ ________________,______,_______,________,A,X,X,____
QA162,___ _______________,____,__,__,A,X,X,____
QA163,___ _____________________,__,____,____,A,X,X,____
QA164,___ ____________,____________,________________,______,B,X,,____
QA165,______________?,__,___,___,C,X,X,Health
QA166,__________________,______,____,__,A,X,X,Health
QA167,___________________,________,______,_______,A,X,,____
QA168,_________________ _,__,__,______,A,X,X,____
QA169,____________,__,___,__,C,X,X,__
QA170,________________ – __(__)____,__,__,______,C,X,X,____
QA171,________________ _,________,__,______,C,X,X,____
QA172,_____________,___,__,__,B,X,X,____
QA173,_________________, _________,_________,____,A,X,X,Health
QA174,__________________,________,  _____,______,A,X,X,____
QA175,____________________________,____,____,____,B,X,,__
QA176,__________________________,____,____,____,B,X,X,____
QA177,________________,____,____,____,C,X,,____
QA178,______________,__,___,______,C,X,X,__
QA179,_________________________,____,_______,____,B,X,X,Health
QA180,_________________________,____,____,____,A,X,X,____
QA181,____________________ _,___________,____________,______,A,X,,____
QA182,___________________,______,____,__,C,X,X,____
QA183,____________ _,____,_____,______,C,X,,____
QA184,______________________,__________,___________,______,A,X,X,____
QA185,_____________?,_________________________,_______,__________,A,X,X,_4_ - __3.01
QA186,_________________,___,_,___,C,X,X,____
QA187,_________________?,__ 100% _______________,_______,_____,B,X,,Hot work
QA188,___________________,____,__,__,A,X,X,Off-job
QA189,__________(__ General Duties)_______,_____ _ _______,_____ _ _______,________,A,X,,Safety Rule
QA190,_____________(PTW)_,____,______,a _ b,B,X,,Safety Rule
QA191,_____________(LWC)_,______,____,a _ b,C,X,,Safety Rule
QA192,______________________,____________,______________, __________________,A,X,X,____
QA193,________________________,_____,___________,_________,B,X,X,____
QA194,______________,_______,____,_________,B,X,X,__
QA195,_____________ :,_______________________________,______________,____,C,X,,Safety Rule
QA196,________________,_______________,_______________,__________,B,X,,__
QA197,________________,_______________,_____________________,______,C,X,X,Safety Rule
QA198,___________(CP-E-01)________, _________________________, _____________________, ______________,B,X,,Safety Rule
QA199,__________________ ________________,_____________________, ______________________,______________________,B,X,,Safety Rule
QA200,__________?,__,___,___,A,X,X,__
QA201,___________?,____,____,___,B,X,X,__
QA202,____________________?,____,_______,____,C,X,X,__
QA203,_____________________,__,__,__,A,X,X,__
QA204,_________________,_______,__,_____,B,X,X,__
QA205,___________________?,___,____,___,B,X,X,Health
QA206,__________________________?,___________,___________,______,C,X,,_3_ - __2.40
QA207,_______________?,__,__,__,C,X,X,_2_- __1.21
QA208,_______________________ ______,1.3 _,1.4 _,1.5 _,C,X,X,___
QA209,_______________________ ______,1.3 _,1.4 _,1.5 _,B,X,X,___
QA210,______________________ ______,2.3 _,2.4 _,2.5 _,C,X,X,___
QA211,_______________________ __ ______,4.4 _,4.5 _,4.6 _,C,X,X,___
QA212,_______________,__,__,__,A,X,X,_2_- __1.21
QA213,____________________________,________________,___________,____,B,X,,SHEQ-STD-005
QA214,______________,1_31_,5_31_,12_31_,B,X,X,__
QA215,___________________ ?, ___,_____,___,A,X,,Safety Rule
QA216,____________________________, _______________________,____,______,C,X,X,____
QA217,_________________________________,___________,__________,___________,B,X,X,_4_ - __3.06
QA218,____________________________________________________________,__,______,_______,C,X,,_4_ - __3.05
QA219,___________________,(1) ____  (2)__ (3)___,(1)____  (2)_____ (3) ______,(1) ____ (2) _____ (3) ____,A,X,X,____
QA220,'______-_________________,____,_________,'_________,A,X,X,____
QA221,________________,2_,3_,5_,c,X,,Safety Rule
QA222,_________________,__,__,__,B,X,,SHEQ-STD-005
QA223,____________?,_________,____________,____________________,C,X,X,_5_ -__4.23
QA224,_____________________________,____________,_____________,__________,B,X,X,_5_ -__4.12
QA225,________________,_________,___________,______,C,X,X,____
QA226,______________…,________,____,_____,A,X,X,__
QA227,_____________________,__,____,__,B,X,X,__
QA228,________________,10000Hz,20000Hz,30000Hz,B,X,X,____
QA229,__________________,____,________,_______,B,X,,SHEQ-STD-005
QA230,______?,_______,_______,________________________________,C,X,X,______
QA231,________?, ____,____, ____,A,X,X,_4_ -__3.09
QA232,________________________?,___,_____,____,B,X,X,_4_ - __3.07
QA233,_______________________?, _____,_____,_____,C,X,X,_4_ -__3.08
QA234,___________________________,____,____,___,A,X,X,__
QA235,________________,________,____,_____,B,X,,Confined Space
QA236,________________________________?,____,___,____,B,X,,_3_ - __2.40
QA237,___________________,_ _ _,_ _ _,__,C,X,X,_______
QA238,______________,___,___,___,C,X,X,___
QA239,____________,______,_______,______,B,X,X,___
QA240,_____________,________,_______,________,C,X,X,___
QA241,________________________,_________,_________,_________,A,X,X,__
QA242,________________,___,___,__,A,X,X,Off-job
QA243,________________,__,____,__,A,X,X,__
QA244,_______________________,____,____,______,C,X,X,_________
QA245,______________,________,______,____,C,X,X,__
QA246,_____ __ ____________,_________,_____________,___________________,A,X,X,__
QA247,___________________?,_________,________,_________,B,X,X,_5_ -__5.13
QA248,____________________?,____,_____________,_______,B,X,X,_3_ - __2.40
QA249,______________________,____,__,__,B,X,X,__
QA250,___________________?,_____ 3 ___________,____________,______,C,X,,_3_ - __2.40
QA251,_______________?,_________,____________,______,C,X,,_3_ - __2.17
QA252,_________________,___,____,__,C,X,X,__
QA253,____________________?,_________,_________,_______,A,X,X,_5_ -__5.13
QA254,_________________________?,____,___________,__,B,X,,_3_ - __2.40
QA255,__________________?,___,___,___,B,X,X,____
QA256,________________?,_______________________,____________,_______________________,B,X,,_3_ - __2.21
QA257,______________?,________,_____________,______________,B,X,,_3_ - __2.40
QA258,______________________________________________,______,___________,_________,B,X,,_3_ - __2.41
QA259,___________ MSDS(Material Safety Data Sheet) __,____,____,____,C,X,,MSDS
QA260,________________,_______________,______,___________,C,X,X,Off-job
QA261,___________________,___________,___________,______,C,X,,STD-001 Cat 2
QA262,_____________?,_______________,_______________,______,A,X,X,_4_ - __3.01
QA263,_________________?,_______________, ___________________________________,______________________________,C,X,,_3_ - __2.31
QA264,______________?,____________,_________, _________,A,X,,STD_001 Cat 2
QA265,______________,___________________,___________,_________________,B,X,X,__
QA266,___________?,___,__,_,C,X,X,__
QA267,___________________?,___________,________,_____,A,X,X,__
QA268,____________________?,___________________,______________,__________,C,X,X,__
QA269,________________?,______________,_______,_________,B,X,X,_3_ - __2.14
QA270,________________?, __,__,__,B,X,X,Health
QA271,____________________,__________________, ____________,____,C,X,,STD-001 Cat 5
QA272,_______________:,________________,_______,______,A,X,X,Health
QA273,_____________________________?,____,______,________,C,X,,_3_ - __2.15
QA274,_________________?,__,__,__,C,X,X,__
QA275,_____________,____,__,______,C,X,X,__
QA276,___________________?,____,_______,____,C,X,X,__
QA277,__________________?,_______________________________________,___________________,_____________________,B,X,,_3_ - __2.17
QA278,______________,____,__,__,A,X,X,__
QA279,__________________________?,__________________________,____________________,_____________,C,X,,_3_ - __2.16
QA280,___________________?,_____,________,_______,C,X,,_3_ - __2.17
QA281,________________?,__________________,__________________,_____________________________________,A,X,X,_3_ - __2.17
QA282,____________________?,___________,______________,__________,C,X,X,SHEQ-STD-001_1_
QA283,_____________________,___________________________,_____________,_________,C,X,,_3_ - __2.16
QA284,_________________?,_______________________,_______________,_____________,C,X,X,_2_ - __1.11
QA285,___________ (sprain ankle)_______?,___________________,___________________,"_________, _______, ____",C,X,X,Health
QA286,_______________?,_____________,_______________,___________,A,X,,_2_ - __1.15
QA287,_________________,___,___,______,C,X,X,__
QA288,________________?,____________,___________________,_____,B,X,,_3_ - __2.16
QA289,______________________?,_________,_________________,_________,B,X,,_3_ - __2.1
QA290,______________?,__________,______________________,__________,B,X,X,_2_  - __1.22
QA291,______________________?,_______,______,____,B,X,,_3_ - __2.41
QA292,_________________?,____,____,______,C,X,,_3_ - __2.17
QA293,___________________?,_______________________,____________________,___________________,A,X,,_3_ - __2.21
QA294,_____________________?,______,______,______,C,X,,_3_ - __2.40
QA295,_______________?,__________________________________,________________,______________________________,C,X,X,_3_ - __2.40
QA296,__________________?,__________________,_________________,________________________,A,X,X,_5_ -__5.02
QA297,____________?,________________________,_________________________,___________,B,X,X,_5_ -__5.56
QA298,______________________?,_____________________,_________________,_______________________________,C,X,,_3_ - __2.40
QA299,_________________?,_________________,____________________,_________,B,X,X,_3_ - __2.40
QA300,______________________?,________________,__________________,__________________,B,X,,_3_ - __2.40
QA301,________________?,_____________________,_____________,________,A,X,X,_2_ - __1.11
QA302,________________?,__'________,________,_________________,C,X,,_3_ - __2.17
QA303,___________________________?,______,_____________,_____,B,X,X,_2_- __1.14
QA304,__________________________________,______,____________________,______________________,C,X,,Safety Rule
QA305,_______________________?,__________, ________,________________________,A,X,,STD-001 Cat 3
QA306,_______________________,_____,__________,__,B,X,X,Off-job
QA307,____________,___________,______________,___________,A,X,X,Off-job
QA308,____________?,________,_________,_________,B,X,,_3_ - __2.1
QA309,_____________________,_____,_____,_____,A,X,,SHEQ-STD-005
QA310,____________________?,________,______,______,A,X,,_3_ - __2.40
QA311,_____________________,__,__,____,B,X,,STD_001 Cat 2
QA312,_________________________,______________,__'”___” _______,______,B,X,,STD-001 Cat 2
QA313,_________?,________________,____________,______,A,X,,STD_001 Cat 2
QA314,___________________________,______,__________,______________,B,X,,____
QA315,______________,________,_________,____,B,X,X,Off-job
QA316,________________,_____,___,______,C,X,,_3_ - __2.40
QA317,___________________?,________________,_______________________,_________________,A,X,,_3_ - __2.40
QA318,_______?,"_____, _____",__________,____________,A,X,X,__
QA319,_______________________24_______?,__,__,__,B,X,X,_5_ -__4.11
QA320,_______________________,_________________,__________,_____________,B,X,,____
QA321,_______________….,___,___,___,C,X,X,__
QA322,_________________,______,______,_____,B,X,X,__
QA323,_______________?,______,______,______,C,X,X,_5_ -__5.02
QA324,____________________________________________?,__,__,___,B,X,,_4_ - __3.05
QA325,___________,___,____,___,B,X,X,__
QA326,_____________________________,____,____,____,A,X,X,__
QA327,________________________?,____________________,_________________,_____________________,A,X,X,_5_ -__5.05
QA328,___________________________,__________,__,______,A,X,X,____
QA329,__________________________?,6 __,12 __,24 __,B,X,X,_3_ - __2.18
QA330,_________ ___________________________________,______,______,___________________________,B,X,,_3_ - __2.40
QA331,__________, _____,___________,_______,B,X,X,Health
QA332,_________________________________________?,______,_________,______,B,X,,_3_ - __2.1
QA333,____________________?,_______________,________,_________,A,X,,_3_ - __2.1
QA334,__________________,______________,_____________,________,B,X,,_3_ - __2.17
QA335,_______________________________________?,___,_____,___,B,X,,_3_ - __2.17
QA336,_________________________________?,_____,_____,_____,C,X,,"___"
QA337,____________________?,_____________,__________________,________________,B,X,,_3_ - __2.17
QA338,______________?,____________,_______,___,A,X,,_3_ - __2.17
QA339,___________________?,______,___________,______,B,X,,_3_ - __2.17
QA340,___________, ______________,______________,________,A,X,,Safety Rule
QA341,__________________?,_____,_________,_____,B,X,,_3_ - __2.41
QA342,___________________,__________________,_________,____________________,A,X,X,___
QA343,___________________________?,___,___________________,___,B,X,X,_5_ -__5.16
QA344,_________________________?,________,____________,________,B,X,,_3_ - __2.40
QA345,____________________________,__________,________,__________,B,X,X,_4_ -__3.09
QA346,___________________?,_______________,______________,___________________,C,X,,_3_ - __2.30
QA347,_____________________?,__,__,__,B,X,X,__
QA348,_____________________?,______,_______________,______,B,X,,_3_ - __2.40
QA349,________________?,_________,___________________,_________,B,X,,_3_ - __2.42
QA350,____________________________?,________,_________,______________,C,X,,_3_ - __2.17
QA351,____________________?,________,_________,______________,B,X,,_4_ - __3.05
QA352,____________________________?,_________,________,____________,C,X,,_4_ - __3.05
QA353,_________________,___,___,___,A,X,X,____
QA354,_______________________,______, _____,______,B,X,X,____
QA355,______________,___,___,______,C,X,,____
QA356,______________________________,____________7:00____7:00_,____________7:00____12:00_,____________7:00____ 7:00_,C,X,,___
QA357,______________,___,___,____,C,X,,STD-001 Cat 2
QA358,__________________?,3__,6__,12__,B,X,X,_3_ - __2.23
QA359,__________…,__,__,__,B,X,X,__
QA360,___________________________,______,______,______,A,X,,____
QA361,______________________________,___,________,______,B,X,,____
QA362,________________________________,19:00 ~ 07:00,21:00 ~ 07:00,00:00 ~ 07:00,A,X,,____
QA363,_________________________________,______,_____,______,B,X,,____
QA364,_________________________,_________1%___,_________5%___,____________,C,X,,____
QA365,___________________________,_______________________,_____________________,___________________________________,C,X,,Safety Rule
QA366,________________________?,_______,__________ (PWRA),_________________,C,X,,Confined Space
QA367,_______________________?,_____,________________,______,B,X,X,____
QA368,________________?,________________________________,____,______,A,X,,_3_ - __2.41
QA369,__________________________________,___,___,______,A,X,,_3_ - __2.23
QA370,_________________________________________?,6__,12 __,26__,C,X,,_3_ - __2.16
QA371,__________________________?,________/________,_______,__________,A,X,X,_5_ -__5.25
QA372,________________________,___________________,________________________,____,C,X,,Safety Rule
QA373,______________________________…,__,__,__,A,X,X,__
QA374,________________ (__)_,_,_,___,C,X,X,___
QA375,________________ 100% _________?,__________,___________,_________,B,X,,_3_ - __2.40
QA376,_______________________, ___,___,___,B,X,,STD-001 Cat 3
QA377,_______________________,__________,________________,__________,B,X,X,Others
QA378,_________________,'______,____,________________,C,X,X,Off-job
QA379,___________________________________________,_______,__________,_________,B,X,,Safety Rule
QA380,________________________________,0.8 _,1 _,1.4 _,A,X,,Safety Rule
QA381,__________________________________ …,50 __,70 __,_________,A,X,X,___
QA382,______________________________________,__,______,_______,B,X,X,__
QA383,____________________,__,__,__,c,X,X,__
QA384,_________________?,______,___________________,____,B,X,X,_5_ -__5.43
QA385,____________________________________,PWRA,IRAS,CTAM,B,X,X,_5_ -__4.12
QA386,_______________________________________?,_______,______________,____,B,X,,_3_ - __2.1
QA387,_____________________________________?,___________,________________,_____,B,X,X,_5_ -__5.30
QA388,_____________________________?,_____,____________,______,B,X,,_3_ - __2.40
QA389,__________________________?,_______,______,____________,C,X,X,__
QA390,______________________________?,_________,________1__,____,A,X,X,__
QA391,___________________,___,_____,____,A,X,X,__
QA392,________SHEQ-STD-001___________________________?,________,________,_____,B,X,X,SHEQ-STD-001_1_
QA393,__________(___)___________,_____________,_______________,_____________,A,X,,SHEQ-STD-005
QA394,_____________________,_______,______________,______,C,X,X,___
QA395,_______________,____,_____,______,B,X,X,___
QA396,_______________________________________,________,___________,_________,B,X,,_3_ - __2.40
QA397,__________?,_________,_____,____,C,X,,STD-001 Cat 2
QA398,_______________ _______?,"""____""",_____’,"""____""",B,X,X,_4_ - __3.02
QA399,_______________________________________________,____,____,__,B,X,,Safety Rule
QA400,"_______, ___________, ___________________?",______,___,____,B,X,,Safety Rule
QA401,__________ ________________________,__________,____________,___________________________,C,X,,Safety Rule
QA402,__________(PWRA)______________________________,_________,_____________,____________,B,X,,_______
QA403,__________(PWRA)_______________________________,______,______,____________,C,X,,_______
QA404,__________(PWRA)________________________________,_________,____________,______,C,X,,_______
QA405,__________(PWRA)_______________________________,________,__________,______,B,X,,_______
QA406,__________(PWRA)________________________________,______,_______,_________,B,X,,_______
QA407,_________________,______,____,________________,C,X,X,__
QA408,________________________________?,________,_____,______,C,X,,_3_ - __2.40
QA409,________?,___________,________,__________,B,X,,Others
QA410,________________________________________?,1_,2_,3_,A,X,,_3_ - __2.23
QA411,"_________""__"" __________?",__________,________,______,C,X,X,_2_  - __1.25
QA412,"__________ ""____"" _________?",__,__,___,B,X,X,_2_  - __1.25
QA413,________________________________?,______,____________________,______,B,X,,_3_ - __2.40
QA414,_____________________? a)________   b)________   c)____ / ________," a, b, c"," c, a b"," b, c, a",B,X,,STD-001 Cat 2
QA415,______________________,___________,_________,______,A,X,,_4_ -__3.09
QA416,________________?,_________________,___________________,__________________,B,X,X,_3_ - __2.31
QA417,____________,____,____,___,A,X,X,_________
QA418,_________________?,2 _, 3 _,4 _,B,X,,Lifting
QA419,_______(CO2)_______,__,____,______,C,X,X,__
QA420,_______________?,______,__________,____,B,X,X,__
QA421,____________________,4___,5___,6___,B,X,X,__
QA422,_________________________?,________,___________,______,C,X,,_3_ - __2.1
QA423,______________________?,_________,____,______,B,X,,_3_ - __2.15
QA424,_______________?,__________________________________,__________________,___________________,A,X,X,_5_ -__5.07
QA425,________________,__________,______________,________,A,X,X,Off-job
QA426,_________________,_______,________________,______,B,X,X,Off-job
QA427,_____________,________________,________,___________,A,X,X,Off-job
QA428,______________,____________,__________,_____________,A,X,X,Off-job
QA429,______________,_____________________,__________________,______,C,X,X,Off-job
QA430,________?,_________,_______,___________,B,X,,Others
QA431,___________________?,_______________,____________,____________,A,X,X,_3_ - __2.22
QA432,__________________?,___________,____________,_________,C,X,,_2_  - __1.24
QA433,________________?,_______,_________,________,B,X,,_3_ - __2.1
QA434,_________________________________?,1.5_,2.5_,3.5_,B,X,,_3_ - __2.14
QA435,________________________________________?,450 __,900 __,1350 __,B,X,,_2_ - __1.11
QA436,_________________,_______,______,______,C,X,X,Off-job
QA437,___________________,__,____,__,C,X,X,__
QA438,___________________?,________,____,____________________,A,X,,_3_ - __2.17
QA439,______________________________________?,____,__,________,C,X,,_3_ - __2.42
QA440,_______________________________________________(IRAS) _________________________?,1____,3____,5____,A,X,X,____
QA441,_________________________________,_____,____,_____,C,X,X,_5_ -__4.11
QA442,________________________________________,_________ ”999” __,_________,______________________”999” __,C,X,X,Off-job
QA443,__________________ …,_____________________,_____________________,__________________________,C,X,X,___
QA444,____________________________________,3_,4_,5_,A,X,X,_2_  - __1.13
QA445,________________________,________,________,_____,A,X,X,_4_ -__3.09
QA446,_________________?,____,____,______,A,X,X,_3_ - __2.1
QA447,_______________________?,___,_3__,_6__,B,X,X,_5_ -__5.13
QA448,_____________________?,______,_______,_________,B,X,X,_5_ -__5.13
QA449,__________________,_________________________________,___________________________,______,A,X,X,_5_ -__5.13
QA450,__________?,_________,_______________,________,B,X,X,_5_ -__5.13
QA451,_________________?,__________,___________________,______,A,X,X,_5_ -__5.23
QA452,___________________?,____,_______,______,A,X,X,_5_ -__5.01
